Year,Nation,Fin,Sperm,Humpback,Sei,Bryde's,Minke,Gray,Bowhead,Total,CODE
2013.0,Japan,0.0,1.0,0.0,100.0,28.0,346.0,0.0,0.0,475.0,JPN
2013.0,Korea,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,KOR
2013.0,Norway,0.0,0.0,0.0,0.0,0.0,594.0,0.0,0.0,594.0,NOR
2013.0,Russia,0.0,0.0,0.0,0.0,0.0,0.0,127.0,1.0,128.0,RUS
2013.0,St.Vincent & Grenadines,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,VCT
2013.0,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,USA
2014.0,Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,CAN
2014.0,Denmark,12.0,0.0,7.0,0.0,0.0,157.0,0.0,0.0,176.0,DNK
2014.0,Iceland,137.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,161.0,ISL
2014.0,Indonesia,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,IDN
2014.0,Japan,0.0,0.0,0.0,90.0,25.0,81.0,0.0,0.0,196.0,JPN
2014.0,Korea,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,KOR
2014.0,Norway,0.0,0.0,0.0,0.0,0.0,736.0,0.0,0.0,736.0,NOR
2014.0,Russia,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,124.0,RUS
2014.0,St.Vincent & Grenadines,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,VCT
2014.0,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,USA
2015.0,Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,CAN
2015.0,Denmark,12.0,0.0,6.0,0.0,0.0,139.0,0.0,1.0,158.0,DNK
2015.0,Iceland,155.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,184.0,ISL
