Year ,Season, Type,Area,Nation,Fin,Sperm,Humpback,Sei,Bryde's ,Minke,Gray,Bowhead,Total,Notes 
2013,2013,WR: coastal,W. Iceland,Iceland,134,0,0,0,0,0,0,0,134,One listed as fin was a fin/blue hybrid.
2013,2013,WR: small type,Iceland,Iceland,0,0,0,0,0,35,0,0,35, 
2013,2013,WO: small type,NE Atlantic,Norway,0,0,0,0,0,594,0,0,594, 
2013,2013,AS,W.Indies,St.Vincent & Grenadines,0,0,4,0,0,0,0,0,4, 
2013,2013,SP: coastal,Japan,Japan,0,0,0,0,0,92,0,0,92, 
2013,2013,SP: pelagic,NW Pacific,Japan,0,1,0,100,28,3,0,0,132, 
2013,2013,Inf,Korea,Korea,0,0,0,0,0,12,0,0,12, 
2013,2013,AS,Chukotka,Russia,0,0,0,0,0,0,127,1,128, 
2013,2013,AS,Alaska,USA,0,0,0,0,0,0,0,57,57, 
2013,2013,U,Indonesia,Indonesia,0,18,0,0,0,0,0,0,18,Unofficial information
2013,2013-14,SP: pelagic,Antarctic,Japan,0,0,0,0,0,251,0,0,251,See **
2014,2014,N,NE Canada,Canada,0,0,0,0,0,0,0,2,2, 
2014,2014,AS,W. Greenland,Denmark,12,0,7,0,0,146,0,0,165, 
2014,2014,AS,E. Greenland,Denmark,0,0,0,0,0,11,0,0,11, 
2014,2014,WR: coastal,W. Iceland,Iceland,137,0,0,0,0,0,0,0,137, 
2014,2014,WR: small type,Iceland,Iceland,0,0,0,0,0,24,0,0,24, 
2014,2014,WO: small type,NE Atlantic,Norway,0,0,0,0,0,736,0,0,736, 
2014,2014,AS,W.Indies,St.Vincent & Grenadines,0,0,2,0,0,0,0,0,2, 
2014,2014,SP: coastal,Japan,Japan,0,0,0,0,0,81,0,0,81, 
2014,2014,SP: pelagic,NW Pacific,Japan,0,0,0,90,25,0,0,0,115, 
2014,2014,Inf,Korea,Korea,0,0,0,0,0,11,0,0,11, 
2014,2014,AS,Chukotka,Russia,0,0,0,0,0,0,124,0,124, 
2014,2014,AS,Alaska,USA,0,0,0,0,0,0,0,53,53, 
2014,2014,U,Indonesia,Indonesia,0,31,0,0,0,0,0,0,31,Unofficial information
2014,2014-15,SP: pelagic,Antarctic,Japan,0,0,0,0,0,0,0,0,0,No catch in 2014-15 season.
