Year,Area,Fin,Sperm,Humpback,Sei,Bryde's,Minke,Gray,Bowhead,Total,CODE,latitudes,longitudes,size
1997.0,Chukotka,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,79.0,None,69.4467673,-171.3853847,2.0
1997.0,E. Greenland,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,None,68.4275896,-32.55215,2.0
1997.0,Indonesia,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,IDN,-9.6004834,121.7535375,2.0
1997.0,NE Atlantic,0.0,0.0,0.0,0.0,0.0,503.0,0.0,0.0,503.0,None,56.5499995,-24.0,2.0
1997.0,NW Pacific,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,None,31.3900266,-156.550517,2.0
1997.0,W. Greenland,13.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,161.0,None,75.3906409,-66.8595852,2.0
1998.0,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,None,58.1769992,-167.136665,2.0
1998.0,Antarctic,0.0,0.0,0.0,0.0,0.0,389.0,0.0,0.0,389.0,None,-62.9569253,-60.6328425,2.0
1998.0,Chukotka,0.0,0.0,0.0,0.0,0.0,0.0,125.0,1.0,126.0,None,69.4467673,-171.3853847,2.0
1998.0,E. Greenland,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,None,68.4275896,-32.55215,2.0
1998.0,Indonesia,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,IDN,-9.6004834,121.7535375,2.0
1998.0,NE Atlantic,0.0,0.0,0.0,0.0,0.0,625.0,0.0,0.0,625.0,None,56.5499995,-24.0,2.0
1998.0,NE Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,None,53.8878796,-53.5909151,2.0
1998.0,NW Pacific,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,101.0,None,31.3900266,-156.550517,2.0
1998.0,W. Greenland,11.0,0.0,0.0,0.0,0.0,166.0,0.0,0.0,177.0,None,75.3906409,-66.8595852,2.0
1998.0,W.Indies,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,None,13.6571919,-60.8986297,2.0
1999.0,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,None,58.1769992,-167.136665,2.0
1999.0,Antarctic,0.0,0.0,0.0,0.0,0.0,439.0,0.0,0.0,439.0,None,-62.9569253,-60.6328425,2.0
1999.0,Chukotka,0.0,0.0,0.0,0.0,0.0,0.0,123.0,1.0,124.0,None,69.4467673,-171.3853847,2.0
1999.0,E. Greenland,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,None,68.4275896,-32.55215,2.0
1999.0,Indonesia,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,IDN,-9.6004834,121.7535375,2.0
1999.0,NE Atlantic,0.0,0.0,0.0,0.0,0.0,591.0,0.0,0.0,591.0,None,56.5499995,-24.0,2.0
1999.0,NW Pacific,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,None,31.3900266,-156.550517,2.0
1999.0,USA W coast,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,None,29.1130403,-128.4039841,2.0
1999.0,W. Greenland,9.0,0.0,2.0,0.0,0.0,170.0,0.0,0.0,181.0,None,75.3906409,-66.8595852,2.0
1999.0,W.Indies,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,None,13.6571919,-60.8986297,2.0
2000.0,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,None,58.1769992,-167.136665,2.0
2000.0,Antarctic,0.0,0.0,0.0,0.0,0.0,444.0,0.0,0.0,444.0,None,-62.9569253,-60.6328425,2.0
2000.0,Chukotka,0.0,0.0,0.0,0.0,0.0,0.0,115.0,1.0,116.0,None,69.4467673,-171.3853847,2.0
2000.0,E. Greenland,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,None,68.4275896,-32.55215,2.0
2000.0,Indonesia,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,IDN,-9.6004834,121.7535375,2.0
2000.0,Korea,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,KOR,37.253807,131.2362315,2.0
2000.0,NE Atlantic,0.0,0.0,0.0,0.0,0.0,487.0,0.0,0.0,487.0,None,56.5499995,-24.0,2.0
2000.0,NE Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,None,53.8878796,-53.5909151,2.0
2000.0,NW Pacific,0.0,5.0,0.0,0.0,43.0,40.0,0.0,0.0,88.0,None,31.3900266,-156.550517,2.0
2000.0,W. Greenland,7.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,152.0,None,75.3906409,-66.8595852,2.0
2000.0,W.Indies,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,None,13.6571919,-60.8986297,2.0
2001.0,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,None,58.1769992,-167.136665,2.0
2001.0,Antarctic,0.0,0.0,0.0,0.0,0.0,452.0,0.0,0.0,452.0,None,-62.9569253,-60.6328425,2.0
2001.0,Chukotka,0.0,0.0,0.0,0.0,0.0,0.0,112.0,1.0,113.0,None,69.4467673,-171.3853847,2.0
2001.0,E. Greenland,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,17.0,None,68.4275896,-32.55215,2.0
2001.0,Indonesia,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,IDN,-9.6004834,121.7535375,2.0
2001.0,Korea,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,KOR,37.253807,131.2362315,2.0
2001.0,NE Atlantic,0.0,0.0,0.0,0.0,0.0,552.0,0.0,0.0,552.0,None,56.5499995,-24.0,2.0
2001.0,NW Pacific,0.0,8.0,0.0,1.0,50.0,100.0,0.0,0.0,159.0,None,31.3900266,-156.550517,2.0
2001.0,W. Greenland,8.0,0.0,2.0,0.0,0.0,139.0,0.0,0.0,149.0,None,75.3906409,-66.8595852,2.0
2001.0,W.Indies,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,None,13.6571919,-60.8986297,2.0
2002.0,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,None,58.1769992,-167.136665,2.0
2002.0,Antarctic,0.0,0.0,0.0,0.0,0.0,441.0,0.0,0.0,441.0,None,-62.9569253,-60.6328425,2.0
2002.0,Chukotka,0.0,0.0,0.0,0.0,0.0,0.0,131.0,3.0,134.0,None,69.4467673,-171.3853847,2.0
2002.0,E. Greenland,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,None,68.4275896,-32.55215,2.0
2002.0,Indonesia,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,IDN,-9.6004834,121.7535375,2.0
2002.0,Japan,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,JPN,28.056319,149.4087118,2.0
2002.0,Korea,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,KOR,37.253807,131.2362315,2.0
2002.0,NE Atlantic,0.0,0.0,0.0,0.0,0.0,634.0,0.0,0.0,634.0,None,56.5499995,-24.0,2.0
2002.0,NE Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,None,53.8878796,-53.5909151,2.0
2002.0,NW Pacific,0.0,5.0,0.0,40.0,50.0,102.0,0.0,0.0,197.0,None,31.3900266,-156.550517,2.0
2002.0,W. Greenland,13.0,0.0,2.0,0.0,0.0,139.0,0.0,0.0,154.0,None,75.3906409,-66.8595852,2.0
2002.0,W.Indies,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,None,13.6571919,-60.8986297,2.0
2003.0,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0,None,58.1769992,-167.136665,2.0
